province_code,order,number,name,hall_postcode,meets_text,installation_text,source_url
durham,craft_lodge,4349,Gateshead Fell Lodge,NE8 1RB,3rd Tuesday September - May.,,https://durhamfreemasons.org/lodges/lodge.php?slug=gateshead-fell-l4349
durham,craft_lodge,4350,The Haven of Rest Lodge,TS24 8AH,The first Friday of each month with a summer recess during July and August.,,https://durhamfreemasons.org/lodges/lodge.php?slug=the-haven-of-rest-l4350
durham,craft_lodge,4441,Durham Lodge of Installed Masters,DH1 3HN,4th Wednesday in February and October and the 1st Wednesday in May and July,,https://durhamfreemasons.org/lodges/lodge.php?slug=durham-lodge-of-installed-masters-l4441
durham,craft_lodge,4490,Hugh de Pudsey Lodge,DL3 6LS,Every 3rd Monday in the months of - February; April; May; October; November & December.,,https://durhamfreemasons.org/lodges/lodge.php?slug=hugh-de-pudsey
durham,craft_lodge,4493,Cestria Lodge,DH3 3DU,"4th Wednesday, September to November 3rd Wednesday December 4th Wednesday, January to May Installation February",,https://durhamfreemasons.org/lodges/lodge.php?slug=cestria-lodge-4493
durham,craft_lodge,4593,Surtees Lodge,DL4 1NN,,,https://durhamfreemasons.org/lodges/lodge.php?slug=surtees-l4593
durham,craft_lodge,4623,Eslington Lodge,NE11 9TJ,"2nd Wednesday of February, March, April, May, October, November, and December. Annual Meeting in April",,https://durhamfreemasons.org/lodges/lodge.php?slug=eslington-lodge-4623
durham,craft_lodge,4749,Caradoc Lodge,TS27 4SD,,,https://durhamfreemasons.org/lodges/lodge.php?slug=caradoc-l4749
durham,craft_lodge,4750,Westoe Lodge,NE33 2DQ,"On the last Monday- Jan-Feb-March-April….First Friday in June… last Monday- Sept-Oct,(installation) and Nov.",,https://durhamfreemasons.org/lodges/lodge.php?slug=westoe-l4750
durham,craft_lodge,4751,Trinity Lodge,DL3 6LS,The 4th Wednesday in January to May & September to November (Installation is in October),,https://durhamfreemasons.org/lodges/lodge.php?slug=trinity-l4751
durham,craft_lodge,4840,Bede College Lodge,DH1 3HN,"The fourth Friday of the month in January, March, May, June, September, October, November.",,https://durhamfreemasons.org/lodges/lodge.php?slug=bede-college-l4840
durham,craft_lodge,4864,St Marys Lodge,NE8 1RB,"St Mary’s Lodge meet on the First Friday in every month, except July, August and January. Our Installation/Annual Festival is in February.",,https://durhamfreemasons.org/lodges/lodge.php?slug=st-marys-l4864
durham,craft_lodge,4965,Strathearn Lodge,TS24 8AH,Second Wednesday of the month September to July.,,https://durhamfreemasons.org/lodges/lodge.php?slug=strathearn-lodge-4965
durham,craft_lodge,5016,Vale of Tees Lodge,DL12 0SH,"3rd Wednesday in the month (October - July), Installation November.",,https://durhamfreemasons.org/lodges/lodge.php?slug=vale-of-tees
durham,craft_lodge,5089,Commercial Travellers Lodge,DL3 6LS,Third Friday of each Month excepting July and August starting at 6.45pm.,,https://durhamfreemasons.org/lodges/lodge.php?slug=commercial-travellers-l5089
durham,craft_lodge,5373,Mowbray Lodge,SR2 7DX,"18:45, First Wednesday of the month in February, March, April, May, October, November (Installation Meeting) and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=mowbray-l5373
durham,craft_lodge,5393,St Catherines Lodge,DL15 9BG,,,https://durhamfreemasons.org/lodges/lodge.php?slug=st-catherines-l5393
durham,craft_lodge,5455,Doric Lodge,DL16 6AS,"On the third Wednesday of each month in September, October, November, December, February, April and May.",,https://durhamfreemasons.org/lodges/lodge.php?slug=doric-l5455
durham,craft_lodge,5530,Albion Lodge,DH8 5TB,Third Friday October through April.,,https://durhamfreemasons.org/lodges/lodge.php?slug=albion-l5530
durham,craft_lodge,5631,Elvet Lodge,DH1 3HN,"Third Tuesday - October, November, December, January, February, March, April & May. Lodge of Instruction: First Thursday - October, November, December, January, February, March & April.",,https://durhamfreemasons.org/lodges/lodge.php?slug=elvet-l5631
durham,craft_lodge,5720,St Georges Lodge,DH3 2PJ,2nd Monday April to June and October to Feb - Installation May,,https://durhamfreemasons.org/lodges/lodge.php?slug=st-georges-l5720
durham,craft_lodge,5757,Vulcan Lodge,DH8 5TB,Third Thursday January - June and September to December. The annual meeting to install the Master is in January each year. We usually meet to rehearse on either 2nd Thursday or 3rd Monday in the week before each meeting.,,https://durhamfreemasons.org/lodges/lodge.php?slug=vulcan-l5757
durham,craft_lodge,5807,Lumley Lodge,DH3 3DU,,,https://durhamfreemasons.org/lodges/lodge.php?slug=lumley-l5807
durham,craft_lodge,5808,Corinthian Lodge,DL4 1NN,"We meet eight (8) times a year on the fourth Tuesday of January, February, March, April, and May, a summer recess then September, October and November. Our Installation meeting is in January",,https://durhamfreemasons.org/lodges/lodge.php?slug=corinthian-l5808
durham,craft_lodge,5841,Civic Lodge,SR2 7DX,"The Lodge meets on the second Friday of the month, October to May. The Installation meeting is in October.",,https://durhamfreemasons.org/lodges/lodge.php?slug=civic-l5841
durham,craft_lodge,5880,Aclet Lodge,DL4 1NN,2nd Monday January - Installation March May July September November,,https://durhamfreemasons.org/lodges/lodge.php?slug=aclet-l5880
durham,craft_lodge,5915,Bedic Lodge,DH4 7LQ,"As an active Lodge we have 10 meetings every year which are on the last Wednesday in January, February, March, April, May, June, July, September, October and November. (Visiting other Lodges within the area is also actively encouraged, which also builds on the friendships.)",,https://durhamfreemasons.org/lodges/lodge.php?slug=bedic
durham,craft_lodge,5988,The Bewick Lodge,NE8 1RB,1ST Wednesday in September to June - Installation in April.,,https://durhamfreemasons.org/lodges/lodge.php?slug=the-bewick-lodge-5988
durham,craft_lodge,6003,Lodge of Unity,TS18 1RD,"4th Monday of the month except July, August and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-unity-l6003
durham,craft_lodge,6036,Sincerity Lodge,DH3 2PJ,"Sincerity Lodge meets at 7.00pm on the first Wednesday of the month from October (Installation, 6.00pm) to June.",,https://durhamfreemasons.org/lodges/lodge.php?slug=sincerity-l6036
durham,craft_lodge,6042,St Lawrence Lodge,NE33 2DQ,"Second Thursday in January, February, March, April, May, October (Installation), November and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=st-lawrence-l6042
durham,craft_lodge,6229,Strathmore Lodge,DL12 8NJ,"The Lodge meets on the second Wednesday of each month, with the exception of July and August. Installation in June.",,https://durhamfreemasons.org/lodges/lodge.php?slug=strathmore-l6229strathmore
durham,craft_lodge,6457,Lodge of Benevolence,TS18 1RD,,,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-benevolence-l6457
